zip_code,state,lat_max,lat_min,long_max,long_min,number_of_panels_north,number_of_panels_south,number_of_panels_east,number_of_panels_west,number_of_panels_flat,number_of_panels_total,potential_kwh_total
20002,District of Columbia,38.926739,38.8894454,-76.9539595,-77.0119596,1716,12134,10013,9419,312004,345286,105533620
20003,District of Columbia,38.8917474,38.8640372,-76.9706125,-77.0130843,1545,9431,6547,8383,100855,126761,38472980
20001,District of Columbia,38.9291075,38.8910815,-77.0092321,-77.0279524,2567,8574,7342,8923,134010,161416,48795999
20010,District of Columbia,38.9377033,38.9283371,-77.0134443,-77.0469566,2880,6956,4178,3990,90259,108263,32851712
20011,District of Columbia,38.9694168,38.9327952,-76.9885401,-77.0473839,10875,51819,25019,27100,237465,352278,106999386
20009,District of Columbia,38.9286894,38.910294,-77.0271877,-77.0485758,2227,9370,4379,5696,142412,164084,49663433
20007,District of Columbia,38.9274227,38.9005542,-77.0520839,-77.1013438,3284,34930,11035,18425,129810,197484,59647464
20017,District of Columbia,38.9535814,38.9230307,-76.9787638,-77.0116109,2663,27984,17982,23912,91250,163791,49563170
19802,Delaware,39.7745856,39.7386675,-75.5074473,-75.5507555,10017,35629,25799,28338,207973,307756,92278165
19805,Delaware,39.7595337,39.7263505,-75.559477,-75.623923,11474,71162,54249,46629,214038,397552,118539404
19806,Delaware,39.7744276,39.7466905,-75.551199,-75.5778622,3147,13201,12099,7662,58347,94456,27866596
59030,Montana,45.141131,44.9923756,-110.0111231,-110.8121108,872,3735,1843,1747,3841,12038,3674659
02835,Rhode Island,41.6412563,41.449356,-71.3041016,-71.3994558,187,2685,2535,1661,558,7626,2176464
03854,New Hampshire,43.0730646,43.0578629,-70.7086344,-70.7363846,155,3857,1914,1396,969,8291,2361709
20015,District of Columbia,38.984944,38.9557338,-77.049048,-77.0903402,1949,42813,11286,15940,42054,114042,34035297
20016,District of Columbia,38.9568832,38.887762,-77.0082,-77.1150098,4195,77292,25354,33549,112427,252817,76449822
20018,District of Columbia,38.9454903,38.9154131,-76.9486424,-76.9962909,4722,38811,17368,27097,231195,319193,97883455
20019,District of Columbia,38.914789,38.867699,-76.9097111,-76.970393,13373,68601,40893,48793,222332,393992,119718449
20020,District of Columbia,38.9243323,38.8433014,-76.9407986,-77.0056609,14601,64645,34306,34999,164633,313184,95328748
20037,District of Columbia,38.9095403,38.8748074,-77.0467992,-77.05666,203,628,305,460,37002,38598,11547513
59411,Montana,48.9969946,48.7407031,-113.3567322,-113.4413183,105,396,344,399,522,1766,486746
82644,Wyoming,42.8452813,42.8416208,-106.3680298,-106.3751475,156,1118,869,413,2127,4683,1539758
19801,Delaware,39.7523753,39.7038201,-75.5172974,-75.5656397,9530,33031,27094,21973,323802,415430,124477060
20005,District of Columbia,38.9109932,38.8974545,-77.0271877,-77.0363079,106,841,228,421,23983,25579,7657906
20012,District of Columbia,38.9954398,38.9642293,-77.0050985,-77.0508808,3442,37878,15048,18953,43413,118734,35827775
20032,District of Columbia,38.8585609,38.8054355,-76.9742523,-77.0381409,11312,54470,39867,45927,221948,373524,114801977
02822,Rhode Island,41.6021084,41.5044493,-71.5178893,-71.7883698,5,792,396,522,70,1785,501329
20008,District of Columbia,38.9576937,38.910399,-77.0457976,-77.0736474,2342,29243,10281,11266,122123,175255,52618442
02814,Rhode Island,41.9332375,41.8552213,-71.5770085,-71.7972078,107,994,651,610,226,2588,719864
02905,Rhode Island,41.814415,41.7604136,-71.3736698,-71.4190489,4113,50937,37291,51676,177585,321602,91948760
03303,New Hampshire,43.3834474,43.2180628,-71.5675503,-71.7631517,883,23415,11590,15462,22159,73509,20702420
03801,New Hampshire,43.1214652,43.0170992,-70.7403338,-70.8563802,10348,70650,36270,38155,509454,664877,191843616
03856,New Hampshire,43.0519993,43.0202804,-70.9293466,-71.0130733,629,3158,1461,1414,20407,27069,7759866
03857,New Hampshire,43.0900209,43.0422596,-70.8937242,-71.014443,749,13165,11131,8910,20114,54069,15439359
03878,New Hampshire,43.2835277,43.2239512,-70.8414231,-70.9244237,1440,29666,16057,14338,131513,193014,55504292
19931,Delaware,38.5782597,38.5666769,-75.6149211,-75.6294238,5,500,286,192,22,1005,302150
59401,Montana,47.5191949,47.5030521,-111.2416978,-111.3087597,1941,36896,26473,35965,124857,226132,65341433
59417,Montana,48.9970416,48.5339479,-112.9914359,-113.8989538,13,1780,598,1036,498,3925,1049224
99506,Alaska,61.2946598,61.2259847,-149.6969217,-149.8797948,78,36436,18359,16332,145249,216454,41886144
02861,Rhode Island,41.8980197,41.8578612,-71.3370431,-71.3730435,3294,77591,61229,54252,127897,324263,92115241
02888,Rhode Island,41.7673128,41.7293448,-71.3796656,-71.4459844,8264,70912,42421,49955,205831,377383,108533956
02906,Rhode Island,41.8568745,41.8195667,-71.3779079,-71.4134561,4341,63825,47151,32515,78830,226662,63846194
02910,Rhode Island,41.7938207,41.7596403,-71.4126574,-71.4559329,5460,69679,51948,41512,130554,299153,86489480
02916,Rhode Island,41.8600133,41.8265605,-71.3389453,-71.3710872,2134,28553,20284,17340,101321,169632,48450238
03820,New Hampshire,43.2519238,43.1193996,-70.8285559,-70.9624585,3214,71329,39665,34604,191664,340476,97497774
03869,New Hampshire,43.242665,43.1928241,-70.8120011,-70.8700013,32,4535,2812,2810,8430,18619,5320269
03870,New Hampshire,43.0588041,42.9734863,-70.6135175,-70.8108571,2056,10632,4457,4328,8663,30136,8610541
19809,Delaware,39.7979938,39.7146794,-75.4721818,-75.5222563,6680,43495,37474,18992,79403,186044,54802420
00733,Ponce,18.0131499,17.9954301,-66.6063658,-66.6170413,2379,2621,974,750,7374,14098,4569332
02889,Rhode Island,41.7586339,41.6548862,-71.3607152,-71.4312699,11034,97274,68111,69639,107686,353744,100718584
02914,Rhode Island,41.8383354,41.7960001,-71.3401025,-71.3876273,6832,77687,66387,28605,238950,418461,120678462
57104,South Dakota,43.6594511,43.5362343,-96.6327897,-96.7739722,15967,99601,40539,65384,807622,1029113,309353897
02806,Rhode Island,41.7770601,41.7097263,-71.2884533,-71.3524458,4085,69626,39024,36050,37809,186594,52419051
02907,Rhode Island,41.8168836,41.7764471,-71.4090819,-71.4406456,3759,38431,41982,36942,186001,307115,88584407
02908,Rhode Island,41.8539329,41.8247777,-71.4131118,-71.4583655,7090,100012,61380,57360,130298,356140,102426661
02915,Rhode Island,41.8043926,41.7451257,-71.3249572,-71.3728765,4839,58181,39234,35621,99508,237383,67669912
03840,New Hampshire,43.0614603,43.0035085,-70.8073033,-70.897881,866,7627,4639,4458,56986,74576,21501476
05401,Vermont,44.4967315,44.4465184,-73.1800215,-73.2403931,3905,70453,41154,48060,200222,363794,98760562
05408,Vermont,44.528217,44.4963612,-73.2314347,-73.2767762,2586,34483,10703,18591,24922,91285,24497985
57730,South Dakota,43.9312282,43.6060872,-103.3540134,-103.8303435,523,15812,7363,10560,15909,50167,17074017
57751,South Dakota,43.9257898,43.8345728,-103.3030801,-103.5108542,161,3917,2365,1371,2856,10670,3460391
02816,Rhode Island,41.7317994,41.6590238,-71.5325433,-71.7430407,6519,80030,53413,51997,132112,324071,92451175
02860,Rhode Island,41.8940223,41.8450259,-71.363719,-71.4214714,4785,101945,76618,70573,337915,591836,169400803
02909,Rhode Island,41.8407172,41.8040716,-71.4267639,-71.4739276,5176,75721,61148,55197,136057,333299,95910562
03046,New Hampshire,43.1603258,43.0554655,-71.5163368,-71.6649482,12,1550,1009,1249,167,3987,1089348
19804,Delaware,39.764398,39.7067214,-75.4957082,-75.6571296,12692,77408,55573,62736,166670,375079,111938356
57105,South Dakota,43.5373609,43.5005207,-96.6967505,-96.7686804,9392,98722,50932,75048,282276,516370,152859968
59937,Montana,48.6006991,48.2292181,-114.2194965,-114.8549623,356,4204,2250,3053,5759,15622,4229414
00971,Guaynabo,18.4402504,18.3733304,-66.1090061,-66.124075,416,584,622,510,26741,28873,10001714
02857,Rhode Island,41.884845,41.7726772,-71.558312,-71.723948,605,10076,6103,4604,5048,26436,7363151
02893,Rhode Island,41.7314875,41.6620146,-71.4848029,-71.5340271,6391,90229,73368,69005,193393,432386,123991589
03064,New Hampshire,42.7959404,42.7613289,-71.4493702,-71.4938692,1686,48090,29504,23992,34149,137421,37830184
03275,New Hampshire,43.2479521,43.0837053,-71.3256763,-71.4936837,3064,48414,19038,24453,80949,175918,49806992
03885,New Hampshire,43.0536652,42.9768237,-70.8599568,-70.9371024,1732,11784,5278,3806,23097,45697,13239655
05404,Vermont,44.5055363,44.4895938,-73.1652537,-73.1988232,1178,17572,14423,14394,61053,108620,29604804
57745,South Dakota,44.1400232,43.8892783,-103.4956415,-103.8064342,460,7095,5118,4795,5990,23458,7765065
59414,Montana,47.5369842,47.5212997,-111.2464248,-111.2899932,488,6162,4060,5593,15889,32192,9529210
82190,Wyoming,44.9791224,44.1336987,-110.0036211,-111.046529,750,10190,7181,6495,5877,30493,9328268
00916,San Juan,18.4687416,18.4313141,-66.0528936,-66.1137629,233,564,241,246,3017,4301,1481885
02802,Rhode Island,41.9569617,41.9506636,-71.453985,-71.4622405,151,1758,601,1481,396,4387,1251103
02838,Rhode Island,41.9772663,41.9478131,-71.4633999,-71.4860104,1484,11438,8576,5662,8827,35987,10207445
02863,Rhode Island,41.8991542,41.8818261,-71.3812313,-71.4073473,1339,33057,16706,29756,91363,172221,49447207
02886,Rhode Island,41.7414007,41.6701855,-71.4062572,-71.5184674,18008,109519,89731,74046,456157,747461,215668388
02896,Rhode Island,42.0148619,41.9369257,-71.4863548,-71.6044081,5043,43120,23915,22262,113828,208168,59047773
03060,New Hampshire,42.7652884,42.7003346,-71.4358617,-71.492107,5779,88197,51879,63564,320054,529473,148469257
03102,New Hampshire,43.0514619,42.9623416,-71.4576026,-71.5192119,5449,87174,58655,50622,120660,322560,90488384
03104,New Hampshire,43.0366508,42.9873435,-71.3916686,-71.4795392,4215,111899,78549,78059,80396,353118,98469370
03301,New Hampshire,43.3077277,43.1532969,-71.4613361,-71.630183,7591,121465,62969,83180,429869,705074,199374240
03307,New Hampshire,43.4041935,43.2461804,-71.359451,-71.5178903,106,3555,2259,1650,605,8175,2325367
19703,Delaware,39.8223146,39.7862792,-75.4246855,-75.4841503,3035,25166,13137,8389,24940,74667,22167578
19904,Delaware,39.2416318,39.0684838,-75.5180708,-75.6719236,22346,127080,74409,105871,199871,529577,160004284
19956,Delaware,38.624132,38.4741398,-75.4106864,-75.6987807,6930,27530,19870,21563,54977,130870,40271731
58203,North Dakota,48.0371753,47.9119852,-97.0301088,-97.2694941,8529,47201,42521,48603,285795,432649,118949904
59801,Montana,46.878768,46.8252704,-113.9227202,-114.0406757,7493,117870,66001,83305,226304,500973,144268265
82001,Wyoming,41.1663848,41.0699187,-104.7139742,-105.0542117,6117,157950,86565,119596,358042,728270,251667659
83204,Idaho,42.9367991,42.568683,-112.191533,-112.7233497,5118,43744,23215,33745,82236,188058,61707238
02818,Rhode Island,41.6863156,41.6011495,-71.4097593,-71.5586597,4720,76953,48513,39887,153999,324072,93121856
02885,Rhode Island,41.7565341,41.6985973,-71.2259583,-71.2878153,4241,55343,32657,35543,84979,212763,61102403
02895,Rhode Island,42.0177079,41.9809091,-71.4584838,-71.5389422,5288,111655,74355,64882,310262,566442,161887859
02911,Rhode Island,41.8710573,41.8338756,-71.4499499,-71.4928316,4887,54182,36215,40176,54196,189656,53969681
03079,New Hampshire,42.8528753,42.7393493,-71.1673404,-71.2799271,5155,95045,53714,60226,334511,548651,154481552
03103,New Hampshire,42.9907255,42.8925448,-71.4143746,-71.4742309,5423,94710,73800,69380,551097,794410,223775107
03109,New Hampshire,43.0051976,42.9354569,-71.3761516,-71.433044,2626,39633,31319,31858,156531,261967,73677023
03258,New Hampshire,43.3048976,43.2026762,-71.3443734,-71.4610346,4,983,649,355,54,2045,560224
57701,South Dakota,44.242001,44.0144923,-103.1092808,-103.2835514,7462,146810,117927,126855,558218,957272,312598174
99507,Alaska,61.1824915,61.1102306,-149.683209,-149.8578759,1360,144680,54779,51011,192843,444673,89972922
00915,San Juan,18.4481878,18.3550259,-66.0403593,-66.0728169,4716,5552,1554,1330,98547,111699,39225991
02809,Rhode Island,41.7140974,41.6274068,-71.236804,-71.3347814,8294,101008,58825,70313,158257,396697,114534096
02824,Rhode Island,42.0027382,41.9953932,-71.5586481,-71.5656957,16,1135,333,273,411,2168,617569
02852,Rhode Island,41.6538616,41.5212421,-71.4034625,-71.5219709,8387,53902,41833,36305,351887,492314,143732432
02864,Rhode Island,42.0185558,41.8968257,-71.3815328,-71.4820783,7744,141850,83249,110369,197520,540732,153884059
02871,Rhode Island,41.6546415,41.5164146,-71.2170478,-71.3255835,7611,47740,48427,39527,55639,198944,57485868
03032,New Hampshire,43.040153,42.9381113,-71.293569,-71.4009692,1073,20814,13444,14106,18294,67731,18937471
03038,New Hampshire,42.9403038,42.840815,-71.2073946,-71.3461479,5200,82835,58865,58609,139137,344646,98177119
03045,New Hampshire,43.067861,42.9734257,-71.5005007,-71.6440431,4324,54552,36350,32028,53007,180261,50483353
03054,New Hampshire,42.9098229,42.7928692,-71.4550285,-71.5777967,4042,62632,48503,41211,81418,237806,66534779
03062,New Hampshire,42.7576939,42.7007027,-71.4512254,-71.5401014,4606,94257,62168,49906,139919,350856,97449455
19720,Delaware,39.7233684,39.5548458,-75.5307634,-75.6644018,55810,257635,201548,178136,1012187,1705316,513747791
19973,Delaware,38.7173449,38.5527952,-75.4709189,-75.7345369,11392,55566,33174,36830,154532,291494,90002789
59101,Montana,45.8409253,45.4000286,-108.2094635,-108.6681368,20917,184264,102316,139059,659665,1106221,337740063
83702,Idaho,43.6784118,43.6065052,-116.1006161,-116.2334168,5104,100623,45662,57139,221178,429706,141759733
99508,Alaska,61.2312581,61.1793148,-149.7788137,-149.8673249,239,91583,31880,30242,251946,405890,78774277
00912,San Juan,18.4496555,18.4400725,-66.0531144,-66.0680073,954,1203,1334,1366,38003,42860,14783440
00962,Cataño,18.451543,18.4175152,-66.1117247,-66.1701328,3497,4170,2647,3002,167278,180594,63987629
02831,Rhode Island,41.7770836,41.7271223,-71.5146095,-71.645202,982,16310,10957,11737,7398,47384,13220545
02865,Rhode Island,41.9593138,41.8733003,-71.4012681,-71.4877273,4221,76515,47512,53711,302696,484655,138667824
02878,Rhode Island,41.6747951,41.5455364,-71.1327016,-71.2204357,8535,86303,52932,45369,47826,240965,69160114
02919,Rhode Island,41.8686157,41.7887296,-71.4646869,-71.5745049,11997,119364,91531,101097,229269,553258,157924327
02920,Rhode Island,41.8067561,41.7315981,-71.4406274,-71.4964973,16453,124812,113147,99422,351773,705607,203035575
03051,New Hampshire,42.8244661,42.6991008,-71.3614342,-71.4573707,3105,85439,39793,44081,236079,408497,114416087
03052,New Hampshire,42.9012904,42.7980451,-71.4230253,-71.4847101,299,13627,9671,9445,3835,36877,10258479
03053,New Hampshire,42.9424068,42.7996592,-71.3320789,-71.4434567,3415,63229,38075,40149,260136,405004,115031429
03076,New Hampshire,42.7841018,42.6972207,-71.2523172,-71.3850467,877,43016,25894,21922,39948,131657,36442457
19702,Delaware,39.6886893,39.5406039,-75.6335835,-75.7858727,27677,188751,125768,147239,317284,806719,242013480
19706,Delaware,39.5906384,39.5619584,-75.5673453,-75.6016787,1850,7364,9325,5088,6669,30296,8979159
87102,New Mexico,35.1117845,35.0437217,-106.6241108,-106.6661358,7250,71601,48860,45358,588031,761100,310823613
99504,Alaska,61.2340712,61.1809364,-149.6899982,-149.7792622,674,126027,77672,76916,156826,438115,88139544
00730,Ponce,18.0859266,17.9867103,-66.5307384,-66.6652088,21849,26023,21660,22685,410956,503173,165854859
02904,Rhode Island,41.878006,41.7887068,-71.3999719,-71.4755508,10075,102406,87201,80307,191920,471909,135308596
03036,New Hampshire,43.0199873,42.9195867,-71.1691041,-71.3097622,878,3582,3208,1278,1531,10477,2939258
03304,New Hampshire,43.1777521,43.0766768,-71.4661594,-71.6220706,3400,23230,13147,14305,63417,117499,32990601
57103,South Dakota,43.5900055,43.5005843,-96.6568797,-96.7247729,9350,166060,97540,137564,189281,599795,177687534
83814,Idaho,47.7113866,47.485161,-116.5815763,-117.0388014,7279,142927,84689,88485,197839,521219,145070527
87022,New Mexico,34.9118822,34.9030342,-106.6893969,-106.6973316,59,233,225,262,4143,4922,2046666
99502,Alaska,61.1994598,61.1310862,-149.9092657,-150.0565216,2055,97203,55036,62130,212828,429252,88018304
99712,Alaska,65.133705,64.8457659,-146.0514521,-147.7425034,177,5692,2571,2837,6014,17291,3288004
00917,San Juan,18.4333332,18.4053319,-66.0408355,-66.0648243,4362,4038,4975,5532,156518,175425,60972154
00919,San Juan,18.466359,18.408742,-66.057515,-66.1191604,1762,2590,4905,2567,120338,132162,45964553
00949,Toa Baja,18.4629607,18.3860584,-66.1423048,-66.2655905,4731,5373,5169,6064,349715,371052,131548736
05452,Vermont,44.5840934,44.4727746,-73.0018937,-73.1459425,6689,66085,48480,38179,207032,366465,100493990
19810,Delaware,39.837503,39.79423,-75.4611227,-75.549118,16740,111223,84702,70894,73590,357149,104427068
19979,Delaware,39.070707,39.0351252,-75.5583058,-75.6086467,1222,6912,3232,3754,1217,16337,4938099
83328,Idaho,42.658221,42.4915922,-114.5285544,-114.6918995,4279,17578,12741,16854,28478,79930,27804819
99517,Alaska,61.2061098,61.1733468,-149.9136873,-149.9701822,1639,63423,33662,37111,91921,227756,47528883
00717,Ponce,18.0125796,17.9956451,-66.5950978,-66.6361355,3188,3509,2553,2236,110351,121837,40081087
03049,New Hampshire,42.8019353,42.7033311,-71.5260979,-71.6371595,118,3401,1339,1985,106,6949,1919276
03110,New Hampshire,42.9862981,42.8948811,-71.4555851,-71.6150706,2507,82429,41934,49114,156741,332725,92667906
59912,Montana,48.6003861,48.2266077,-113.9760794,-114.3167924,412,2658,1697,2528,17195,24490,6666238
83703,Idaho,43.6921996,43.6319259,-116.2010436,-116.2789608,6903,107395,51441,71048,61108,297895,98731703
83705,Idaho,43.6043378,43.5018292,-116.1668827,-116.2628013,17489,144090,74744,102270,416345,754938,251692669
83706,Idaho,43.6273143,43.5618008,-116.1333794,-116.258321,9491,170498,88088,121116,235050,624243,206710568
00921,San Juan,18.4475987,18.3744535,-66.0675891,-66.1057646,2240,3063,2980,2697,344568,355548,124781000
00923,San Juan,18.4462112,18.3732902,-66.026954,-66.0675891,1873,2561,2610,2999,83736,93779,32875184
05446,Vermont,44.6048791,44.4898987,-73.101617,-73.3028414,1245,20866,13895,11327,95128,142461,39345056
58103,North Dakota,46.8829492,46.8272023,-96.7774095,-96.9008902,36814,224443,133788,193646,547319,1136010,320256629
59715,Montana,45.8288963,45.5917395,-110.8320945,-111.0671143,13451,139346,78328,94043,264485,589653,170604776
83712,Idaho,43.6648801,43.5668326,-116.0588717,-116.1944655,3398,47274,29710,27944,50980,159306,52822255
87031,New Mexico,34.8923869,34.5941201,-106.4320754,-107.174647,13253,89111,75070,68576,246386,492396,204528968
87059,New Mexico,35.1408779,34.8869346,-106.1671223,-106.4638928,1479,8073,7339,6842,16999,40732,16520083
99709,Alaska,64.9407954,64.7736753,-147.7302845,-148.1351688,2048,82883,50947,43733,259666,439277,84489203
00953,Toa Alta,18.4164823,18.337848,-66.1976022,-66.27888,736,841,1636,1424,84038,88675,31279277
00961,Bayamón,18.4307747,18.3799371,-66.1295822,-66.1971781,4946,5171,6315,6821,438204,461457,163095617
00976,Trujillo Alto,18.3789271,18.2838129,-65.9692367,-66.0347601,3094,4076,2866,2834,181415,194285,67770384
00982,Carolina,18.4154911,18.3803617,-65.9574594,-65.9986578,72,78,51,154,15932,16287,5823093
00987,Carolina,18.421381,18.3621818,-65.9228147,-66.0007021,2675,2999,3061,2833,342939,354507,126493198
03833,New Hampshire,43.0255733,42.8993214,-70.8862231,-71.0874519,48,1866,870,746,6358,9888,2833320
19701,Delaware,39.6591958,39.5469928,-75.6326231,-75.7636306,26716,218036,163693,162415,149346,720206,216030057
58042,North Dakota,47.0196873,46.9285236,-96.8376406,-97.0637077,23,1128,798,1080,833,3862,1077222
82009,Wyoming,41.6538226,41.0961273,-104.2710963,-105.2500742,7917,193266,112250,129595,219282,662310,230510967
83402,Idaho,43.6592524,43.3959136,-112.0247088,-112.3451179,31465,133026,75603,99577,311059,650730,212008824
83605,Idaho,43.6981026,43.6244162,-116.5638024,-116.7289556,22192,180528,125218,161309,332752,821999,273307288
83651,Idaho,43.6281184,43.560511,-116.5484897,-116.6777635,17942,188575,114941,152090,228108,701656,232927661
83858,Idaho,47.939684,47.7524415,-116.7560407,-117.0240825,4077,85969,52782,61157,50026,254011,72249855
87507,New Mexico,35.7241777,35.5220492,-105.9205808,-106.2012995,22190,59424,44420,51077,873465,1050576,430674826
00603,Aguadilla,18.5056258,18.4017852,-67.0846712,-67.1596807,6439,7319,6131,7458,338054,365401,134954372
57107,South Dakota,43.659507,43.5439951,-96.7490229,-96.9100548,8013,53903,32711,50631,204840,350098,105435569
83202,Idaho,43.0723217,42.8789049,-112.2497011,-112.552663,12429,89774,54941,75582,176117,408843,136827455
83427,Idaho,43.5394198,43.2443377,-111.7192109,-111.9414658,1282,12336,5496,9848,1675,30637,10072335
83607,Idaho,43.9088002,43.430917,-116.613629,-116.8763656,7747,111495,64270,100343,89403,373258,125189563
83644,Idaho,43.7968766,43.685758,-116.5130959,-116.6538069,71,317,333,346,12,1079,357284
83687,Idaho,43.6765889,43.5233482,-116.4390461,-116.6299793,25974,232125,133248,188983,497787,1078117,361079830
00920,San Juan,18.4342072,18.3722087,-66.0111562,-66.109343,5105,6117,3721,3958,327514,346415,121976029
00956,Bayamón,18.4202947,18.3175318,-66.141689,-66.1772092,4232,4834,4490,4234,533418,551208,193229486
00984,Carolina,18.4302868,18.3976421,-65.9750557,-65.9987043,683,1160,1250,1465,146022,150580,53760539
57106,South Dakota,43.5436969,43.4756579,-96.7583176,-96.9098033,18546,254953,161459,217952,260586,913496,274872032
59803,Montana,46.8413681,46.7760998,-113.9141194,-114.0866571,5766,109386,57926,71384,29632,274094,79359670
82609,Wyoming,42.8614518,42.7096902,-106.0853509,-106.299774,13992,87395,89646,87716,241179,519928,172398038
83401,Idaho,43.6298771,43.4153961,-111.7742958,-112.0617962,35049,177463,107064,162724,314539,796839,259664363
83815,Idaho,47.7496065,47.7005034,-116.7296807,-116.8502104,10184,275737,170019,192231,294746,942917,266924491
87501,New Mexico,35.7446026,35.6689946,-105.8354284,-105.9805684,3258,16388,14435,11883,538879,584843,237344185
00612,Arecibo,18.4917217,18.3432602,-66.6231808,-66.7903547,2800,2604,3459,3456,253866,266185,95589437
00614,Arecibo,18.4850798,18.4642552,-66.7159622,-66.7727677,575,689,436,510,76819,79029,28367550
