Id,time,T_min,T_mean,T_max,P_min,P_mean,P_max,U_min,U_mean,U_max,Ff_min,Ff_mean,Ff_max,N_min,N_mean,N_max,VV_min,VV_mean,VV_max,RRR_min,RRR_mean,RRR_max,y
0,2021-04-05 00:00:00+03:00,4.1,5.5,8.2,747.4,749.2125,751.9,58,72.125,87,5,7.375,9,0.6,0.8937499999999999,1.0,8.0,9.75,10.0,0.05,1.025,2.0,1
1,2021-04-06 00:00:00+03:00,12.4,17.375,22.1,766.3,767.9625,769.4,29,45.25,65,3,6.25,10,0.0,0.2875,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
2,2021-04-07 00:00:00+03:00,16.4,18.8,22.6,759.3,759.8857142857142,760.6,61,72.42857142857143,80,1,3.7142857142857144,6,0.25,0.6571428571428571,0.95,10.0,10.0,10.0,0.0,0.0,0.0,0
3,2021-04-08 00:00:00+03:00,14.2,17.6375,22.8,758.9,760.975,762.5,42,68.0,82,2,3.125,7,0.25,0.50625,0.95,10.0,10.0,10.0,0.0,0.15,0.3,0
4,2021-04-09 00:00:00+03:00,6.1,7.7875,9.6,750.1,753.6125,757.3,68,80.625,85,6,6.875,10,0.5,0.7999999999999999,0.95,4.1,9.2625,10.0,2.0,3.5,5.0,1
5,2021-04-10 00:00:00+03:00,2.1,6.1875,10.3,776.7,777.4875,778.5,57,78.875,97,1,2.75,4,0.25,0.40625,0.5,1.0,6.457142857142857,10.0,0.0,0.0,0.0,1
6,2021-04-11 00:00:00+03:00,6.7,7.8,9.1,762.7,765.1875,768.3,75,88.75,97,4,5.25,6,0.75,0.8875,1.0,2.7,8.7125,10.0,0.0,2.5,5.0,1
7,2021-04-12 00:00:00+03:00,-6.7,-3.4375,0.1,749.2,752.5625,757.6,72,80.75,86,5,6.75,9,0.25,0.7375,1.0,10.0,10.0,10.0,1.0,1.5,2.0,1
8,2021-04-13 00:00:00+03:00,5.3,14.0375,21.6,765.4,767.6625,770.2,24,51.125,89,3,4.375,6,0.0,0.5,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
9,2021-04-14 00:00:00+03:00,9.8,16.3,20.2,761.8,763.55,764.8,25,40.125,55,2,4.5,7,0.4,0.53125,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
10,2021-04-15 00:00:00+03:00,8.9,12.1375,17.2,761.9,762.3125,763.3,47,58.625,65,1,4.125,7,0.5,0.85625,1.0,10.0,10.0,10.0,0.0,0.025,0.05,1
11,2021-04-16 00:00:00+03:00,6.1,11.125,16.6,763.6,764.6125,765.6,36,53.875,70,7,7.75,9,0.4,0.74375,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1
12,2021-04-17 00:00:00+03:00,6.8,11.875,17.4,765.1,766.15,767.1,24,39.375,50,6,7.75,10,0.5,0.775,1.0,10.0,10.0,10.0,0.0,0.025,0.05,1
13,2021-04-18 00:00:00+03:00,5.8,10.1625,13.9,765.4,765.9125,766.9,26,36.75,55,5,6.375,9,0.25,0.6375,0.95,10.0,10.0,10.0,0.0,0.0,0.0,1
14,2021-04-19 00:00:00+03:00,6.1,9.0125,12.1,766.7,767.1875,768.4,35,47.25,60,4,6.75,10,0.4,0.73125,0.95,10.0,10.0,10.0,0.0,0.0,0.0,1
